Year	PM2	PM10	Notes	Notes	Year	City	Country
2009	86	260	"1 station, 1 station: urban"	measured data	2009	Kabul	Afghanistan
2009	68	334	"1 station, 1 station: urban outskirts"	measured data	2009	Mazar-e Sharif	Afghanistan
2013	16	32	"1 station, traffic, urban"	measured data	2013	TIRANA	Albania
2014	11	18	"1 station, urban"	measured data	2014	Escaldes-Engordany	Andorra
2015	14	26	"3 stations, residencial commercial"	measured data	2015	Buenos Aires	Argentina
2014	7	17	"7 stations, Residential (outer urban) and residential/light industry"	measured data	2014	Adelaide	Australia
2014	7	16	"1 station, rural (small town)"	measured data	2014	Albany	Australia
2014	7	16	"1 station, Rural (small town)"	measured data	2014	Albury	Australia
2014	9	20	"1 station, Rural (small town)"	measured data	2014	Ayr	Australia
2014	6	15	"1 station, Rural (small town)"	measured data	2014	Bathurst	Australia
2014	6	16	"8 stations, Residential (inner urban)"	measured data	2014	Brisbane	Australia
2014	8	16	"1 station, rural (small town)"	measured data	2014	Bunbury	Australia
2014	7	17	-	converted from PM2.5	2014	Busselton	Australia
2014	7	16	-	converted from PM2.5	2014	Canberra	Australia
2014	6	13	-	converted from PM2.5	2014	Central Coast	Australia
2014	8	19	"1 station, rural (small town)"	measured data	2014	Collie	Australia
2014	8	19	-	converted from PM2.5	2014	Darwin	Australia
2013	6	15	-	converted from PM2.5	2013	"Devonport, Tasmania"	Australia
2014	8	18	"1 station, Residential/Light Industry"	measured data	2014	Geelong	Australia
2014	10	22	"1 station, rural (small town)"	measured data	2014	Geraldton	Australia
2014	5	14	"4 stations, Residential (outer urban)"	measured data	2014	Gladstone	Australia
2013	6	14	-	converted from PM2.5	2013	"Hobart, Tasmania"	Australia
2014	10	20	"2 stations, residential, rural"	measured data	2014	La Trobe Valley	Australia
2013	8	19	-	converted from PM2.5	2013	"Launceston, Tasmania"	Australia
2014	7	17	-	converted from PM2.5	2014	Lower Hunter	Australia
2014	7	17	"1 station, residential rural"	measured data	2014	Mackay	Australia
2014	8	19	"10 stations, Residential/Light Industry"	measured data	2014	Melbourne	Australia
2014	9	21	"1 station, industrial/residential"	measured data	2014	Moranbah	Australia
2014	7	16	"1 station, industrial/residential"	measured data	2014	Mount Isa	Australia
2014	9	21	"1 station, Residential (outer urban)"	measured data	2014	Muswellbrook	Australia
2014	8	19	"3 stations, Residential (outer urban)"	measured data	2014	Newcastle	Australia
2014	9	22	-	converted from PM2.5	2014	Palmerston	Australia
2014	8	17	"3 stations, Residential (outer urban)"	measured data	2014	Perth	Australia
2014	9	21	"1 station, Rural (small town)"	measured data	2014	Singleton	Australia
2014	8	17	"15 stations, Residential (outer urban)"	measured data	2014	Sydney	Australia
2014	7	16	"1 station, Rural (small town)"	measured data	2014	Tamworth	Australia
2014	7	17	"2 stations, residential"	measured data	2014	Townsville	Australia
